,DSC1
0,0.009741436690092087
1,0.0006304995040409267
2,0.0003280017408542335
3,0.00021579358144663274
4,8.698387682670727e-05
5,8.59252304508118e-06
6,7.398130037472583e-06
7,2.7644360325179695e-12
8,2.765420704931021e-12
9,2.7658773708860718e-12
10,2.76751668457087e-12
11,2.766752105198833e-12
12,9.284474913329177e-07
13,2.2477595393866068e-06
14,2.4383848540310282e-06
15,8.472962508676574e-05
16,0.0005061610718257725
17,0.0034080608747899532
18,0.030900830402970314
19,0.07295794039964676
20,0.13617633283138275
21,0.1522110104560852
22,0.22230038046836853
23,0.32039326429367065
24,0.39032262563705444
25,0.38346830010414124
26,0.42248672246932983
27,0.4541863799095154
28,0.45341795682907104
29,0.44913122057914734
30,0.44783371686935425
31,0.45058751106262207
32,0.4650651812553406
33,0.4607555866241455
34,0.46363791823387146
35,0.464791476726532
36,0.4731595814228058
37,0.47722962498664856
38,0.48546937108039856
39,0.4895085096359253
40,0.48528119921684265
41,0.49037423729896545
42,0.5072188377380371
43,0.507402241230011
44,0.5158909559249878
45,0.5173607468605042
46,0.5124098658561707
47,0.5019708275794983
48,0.5077083706855774
49,0.5288940668106079
50,0.523276150226593
51,0.5380303859710693
52,0.5375537872314453
53,0.5416790843009949
54,0.5344185829162598
55,0.5103175044059753
56,0.444341778755188
57,0.46357497572898865
58,0.4890903830528259
59,0.5011476874351501
60,0.513331949710846
61,0.5126771330833435
62,0.5167722702026367
63,0.5181336402893066
64,0.5204876661300659
65,0.5216584205627441
66,0.5031716227531433
67,0.5371787548065186
68,0.5473335981369019
69,0.5516912341117859
70,0.5537706017494202
71,0.5430216193199158
72,0.5478881597518921
73,0.5502711534500122
74,0.5443169474601746
75,0.5034918785095215
76,0.531737744808197
77,0.537246584892273
78,0.5401320457458496
79,0.541715681552887
80,0.5358805656433105
81,0.540226936340332
82,0.5402176380157471
83,0.5409878492355347
84,0.5397962927818298
85,0.5398958325386047
86,0.5421457886695862
87,0.541882336139679
88,0.54018235206604
89,0.5391822457313538
90,0.5369365215301514
91,0.534570038318634
92,0.5367584824562073
93,0.5356898307800293
94,0.5413910746574402
95,0.5412635803222656
96,0.538414716720581
97,0.5353934168815613
98,0.5334942936897278
99,0.5325957536697388
100,0.54670250415802
101,0.5484116077423096
102,0.5495932698249817
103,0.5475291013717651
104,0.5459898114204407
105,0.5446532368659973
106,0.5427321195602417
107,0.5429469347000122
108,0.5408375859260559
109,0.5421068072319031
110,0.5397761464118958
111,0.5403198599815369
112,0.5400330424308777
113,0.5384535789489746
114,0.5404865145683289
115,0.5524789094924927
116,0.5514795184135437
117,0.5475216507911682
118,0.5458517074584961
119,0.5509699583053589
120,0.5283013582229614
121,0.5419356226921082
122,0.5340724587440491
123,0.532878577709198
124,0.5311550498008728
125,0.5310881733894348
126,0.5298154354095459
127,0.5278739333152771
128,0.5276569128036499
129,0.526448130607605
130,0.5275371074676514
131,0.5265297889709473
132,0.525618314743042
133,0.525719940662384
134,0.52456134557724
135,0.5264330506324768
136,0.5250571370124817
137,0.524469256401062
138,0.5238111019134521
139,0.5300623774528503
140,0.5312545299530029
141,0.5170629620552063
142,0.5386614203453064
143,0.5413162708282471
144,0.5406625270843506
145,0.53800368309021
146,0.5348389744758606
147,0.536371648311615
148,0.5350951552391052
149,0.5335715413093567
150,0.536690890789032
151,0.5391135811805725
152,0.5384264588356018
153,0.5372252464294434
154,0.5364540815353394
155,0.5363966822624207
156,0.53557288646698
157,0.5355510711669922
158,0.5349650382995605
159,0.5346555709838867
160,0.5341399312019348
161,0.53357994556427
162,0.5332998633384705
163,0.5323247909545898
164,0.532504677772522
165,0.5327743291854858
166,0.5325315594673157
167,0.5324669480323792
168,0.5316987633705139
169,0.5315892696380615
170,0.5314554572105408
171,0.5322777032852173
172,0.531734049320221
173,0.530495822429657
174,0.5310383439064026
175,0.5314573645591736
176,0.5408055186271667
177,0.5399211645126343
178,0.5397428870201111
179,0.5403821468353271
180,0.5385870337486267
181,0.5370982885360718
182,0.5363098382949829
183,0.5366047024726868
184,0.5363640785217285
185,0.5353728532791138
186,0.5382204055786133
187,0.5418055653572083
188,0.5474178791046143
189,0.5434807538986206
190,0.5424506068229675
191,0.5412236452102661
192,0.5405682325363159
193,0.5396233797073364
194,0.539262592792511
195,0.5390546321868896
196,0.5382528305053711
197,0.5378649234771729
198,0.5365923643112183
199,0.5358562469482422
200,0.5350648760795593
201,0.5344752073287964
202,0.5326693654060364
203,0.5334656238555908
204,0.5302607417106628
205,0.5391525626182556
206,0.5414699912071228
207,0.5515239834785461
208,0.5545142292976379
209,0.5545389652252197
210,0.5531741380691528
211,0.5533927083015442
212,0.5523444414138794
213,0.5534559488296509
214,0.5546709895133972
215,0.5531211495399475
216,0.5524047017097473
217,0.5506656169891357
218,0.5506517887115479
219,0.549886167049408
220,0.5487356781959534
221,0.5483821034431458
222,0.5475246906280518
223,0.5471802353858948
224,0.5484163165092468
225,0.5476473569869995
226,0.5471475720405579
227,0.5463019609451294
228,0.5463873147964478
229,0.5461176037788391
230,0.5459207892417908
231,0.5455307960510254
232,0.5453031659126282
233,0.5450934767723083
234,0.5447763204574585
235,0.5444333553314209
236,0.5444221496582031
237,0.54426109790802
238,0.5440443754196167
239,0.5438258051872253
240,0.5437926054000854
241,0.5437058806419373
242,0.5434365272521973
243,0.5430279970169067
244,0.5432612299919128
245,0.5426187515258789
246,0.542777419090271
247,0.5426325798034668
248,0.5428589582443237
249,0.542310357093811
250,0.5423653721809387
251,0.5424457788467407
252,0.5443440675735474
253,0.542438805103302
254,0.5418297648429871
255,0.5417647361755371
256,0.5405257344245911
257,0.5422412157058716
258,0.5413054823875427
259,0.5407572984695435
260,0.5405839085578918
261,0.540160059928894
262,0.5394102931022644
263,0.5390523076057434
264,0.5392977595329285
265,0.5386382341384888
266,0.5381327271461487
267,0.5397562384605408
268,0.5391820669174194
269,0.5393313765525818
270,0.5459215044975281
271,0.5394476652145386
272,0.5405828952789307
273,0.5397807359695435
274,0.5400605201721191
275,0.5394610166549683
276,0.5393503904342651
277,0.5386830568313599
278,0.5380152463912964
279,0.5374409556388855
280,0.5367374420166016
281,0.5360017418861389
282,0.5366658568382263
283,0.5351479649543762
284,0.5347725749015808
285,0.5346264839172363
286,0.535534679889679
287,0.535460889339447
288,0.5336468815803528
289,0.5322703719139099
290,0.5341695547103882
291,0.5336409211158752
292,0.5332119464874268
293,0.5302708745002747
294,0.5323729515075684
295,0.5376542210578918
296,0.5360785722732544
297,0.5348532795906067
298,0.5343402028083801
299,0.533811628818512
