,DSC1
0,0.1273699402809143
1,0.4301435649394989
2,0.4573490619659424
3,0.4662952125072479
4,0.4787288010120392
5,0.5042915940284729
6,0.5493831634521484
7,0.5830858945846558
8,0.6083819270133972
9,0.6285510063171387
10,0.605610728263855
11,0.6419659852981567
12,0.6735898852348328
13,0.6929148435592651
14,0.6989648938179016
15,0.6361949443817139
16,0.665244460105896
17,0.7158616781234741
18,0.7369304299354553
19,0.7604026198387146
20,0.7639636397361755
21,0.6930556893348694
22,0.7574794888496399
23,0.7809070944786072
24,0.7945049405097961
25,0.8020288348197937
26,0.8035458922386169
27,0.7677966952323914
28,0.744246780872345
29,0.7969942688941956
30,0.8069068193435669
31,0.8122106194496155
32,0.8107481598854065
33,0.7236078381538391
34,0.7712612748146057
35,0.8057839274406433
36,0.816210150718689
37,0.8210664391517639
38,0.8257122039794922
39,0.8228894472122192
40,0.8179685473442078
41,0.8185791969299316
42,0.8198136687278748
43,0.8226668238639832
44,0.8311355710029602
45,0.8115832805633545
46,0.7968385815620422
47,0.8302293419837952
48,0.8283275365829468
49,0.8298126459121704
50,0.8331590294837952
51,0.806393027305603
52,0.8190346360206604
53,0.8392868041992188
54,0.8370916843414307
55,0.838951826095581
56,0.832819402217865
57,0.8355712294578552
58,0.8376706838607788
59,0.8301993608474731
60,0.8363654017448425
61,0.7952836751937866
62,0.8374136686325073
63,0.8427164554595947
64,0.8451457619667053
65,0.8492233157157898
66,0.8496047854423523
67,0.8470725417137146
68,0.7930349111557007
69,0.8482948541641235
70,0.8535906076431274
71,0.8554412126541138
72,0.8556090593338013
73,0.8581522107124329
74,0.8571569919586182
75,0.8595439791679382
76,0.862644374370575
77,0.8633765578269958
78,0.8645995855331421
79,0.8645925521850586
80,0.8665692210197449
81,0.8666831851005554
82,0.8679947853088379
83,0.8683887124061584
84,0.8692278861999512
85,0.8694610595703125
86,0.8607692122459412
87,0.8592612743377686
88,0.8695544600486755
89,0.8710474967956543
90,0.8727062344551086
91,0.8735846877098083
92,0.87297523021698
93,0.8756660223007202
94,0.8749147653579712
95,0.8764849901199341
96,0.8741786479949951
97,0.8759413361549377
98,0.8743616342544556
99,0.8757576942443848
100,0.8729602098464966
101,0.8438466191291809
102,0.8637705445289612
103,0.8739005923271179
104,0.8744246363639832
105,0.8746508359909058
106,0.8754010796546936
107,0.8757392764091492
108,0.8750361800193787
109,0.8737432360649109
110,0.875225305557251
111,0.8743380308151245
112,0.876330554485321
113,0.8754839897155762
114,0.8746930956840515
115,0.8749203085899353
116,0.8645074367523193
117,0.8463653326034546
118,0.8717998266220093
119,0.8733032941818237
120,0.874451756477356
121,0.8739875555038452
122,0.8742412328720093
123,0.8754206895828247
124,0.8761682510375977
125,0.8757887482643127
126,0.8745599985122681
127,0.8745000958442688
128,0.8749293684959412
129,0.8758065700531006
130,0.8752134442329407
131,0.8750953078269958
132,0.875745952129364
133,0.8762590885162354
134,0.8751257061958313
135,0.8761977553367615
136,0.8767013549804688
137,0.8765693306922913
138,0.8744181990623474
139,0.8063240051269531
140,0.8514443635940552
141,0.8715945482254028
142,0.8738791346549988
143,0.8754176497459412
144,0.8743791580200195
145,0.877656102180481
146,0.8758506178855896
147,0.8765233159065247
148,0.877831757068634
149,0.8761255741119385
150,0.8776615262031555
151,0.8779041171073914
152,0.8774378299713135
153,0.877230703830719
154,0.877281904220581
155,0.8770682215690613
156,0.8763095140457153
157,0.8776707053184509
158,0.8771804571151733
159,0.8770549893379211
160,0.8775961995124817
161,0.8770954012870789
162,0.8765562176704407
163,0.8777285814285278
164,0.8772081136703491
165,0.877280592918396
166,0.8769708871841431
167,0.8771969676017761
168,0.8770596385002136
169,0.8770190477371216
170,0.877263605594635
171,0.8770265579223633
172,0.8769372701644897
173,0.8759756684303284
174,0.8765912652015686
175,0.8766030073165894
176,0.8771952390670776
177,0.8776849508285522
178,0.8767985105514526
179,0.8776246309280396
180,0.8743459582328796
181,0.8772473931312561
182,0.876888632774353
183,0.8758174180984497
184,0.876735270023346
185,0.8776986598968506
186,0.8764351606369019
187,0.8765802383422852
188,0.8767784833908081
189,0.8742007613182068
190,0.8766383528709412
191,0.8762584328651428
192,0.877919614315033
193,0.8762281537055969
194,0.8767473697662354
195,0.8769196271896362
196,0.8770532608032227
197,0.877082347869873
198,0.8759493827819824
199,0.8773662447929382
200,0.8772250413894653
201,0.8762801289558411
202,0.8752226233482361
203,0.874810516834259
204,0.8755159378051758
205,0.8765149712562561
206,0.8764015436172485
207,0.8767352104187012
208,0.876736044883728
209,0.8763099908828735
210,0.8757618069648743
211,0.8770248293876648
212,0.8763322830200195
213,0.8773869872093201
214,0.8739287853240967
215,0.8691760897636414
216,0.8766696453094482
217,0.8769845962524414
218,0.8770377039909363
219,0.8775161504745483
220,0.8773816227912903
221,0.8772704601287842
222,0.8774167895317078
223,0.8775516152381897
224,0.877616822719574
225,0.8769621253013611
226,0.8777564764022827
227,0.8776937127113342
228,0.8778286576271057
229,0.8776213526725769
230,0.8777045607566833
231,0.8775603771209717
232,0.8773481249809265
233,0.8773748278617859
234,0.8772746920585632
235,0.8773260712623596
236,0.8775684237480164
237,0.8769782185554504
238,0.8772634863853455
239,0.8774631023406982
240,0.8770959377288818
241,0.8772734999656677
242,0.8769698739051819
243,0.877282440662384
244,0.8773794770240784
245,0.8771587014198303
246,0.8772501945495605
247,0.8770925402641296
248,0.8767762184143066
249,0.8770613074302673
