opt,name,kernal_size,lamda,sigma,dilation_level,fd,arg_name,baseline
42,prostate,5,0.1,10.0,5,0.6150112678975904,name_prostate_kernal_size_5_lamda_0.1_sigma_10.0_dilation_level_5,0.6091966398909155
43,prostate,5,0.1,10.0,6,0.615010915674615,name_prostate_kernal_size_5_lamda_0.1_sigma_10.0_dilation_level_6,0.6091966398909155
44,prostate,5,0.1,10.0,7,0.615010915674615,name_prostate_kernal_size_5_lamda_0.1_sigma_10.0_dilation_level_7,0.6091966398909155
45,prostate,5,1.0,10.0,5,0.6150112678975904,name_prostate_kernal_size_5_lamda_1.0_sigma_10.0_dilation_level_5,0.6091966398909155
46,prostate,5,1.0,10.0,6,0.615010915674615,name_prostate_kernal_size_5_lamda_1.0_sigma_10.0_dilation_level_6,0.6091966398909155
47,prostate,5,1.0,10.0,7,0.615010915674615,name_prostate_kernal_size_5_lamda_1.0_sigma_10.0_dilation_level_7,0.6091966398909155
48,prostate,3,0.0,1.0,5,0.9508821144684315,name_prostate_kernal_size_3_lamda_0.0_sigma_1.0_dilation_level_5,0.6091966398909155
49,prostate,3,0.0,1.0,6,0.9351926164381825,name_prostate_kernal_size_3_lamda_0.0_sigma_1.0_dilation_level_6,0.6091966398909155
50,prostate,3,0.0,1.0,7,0.9005858096259737,name_prostate_kernal_size_3_lamda_0.0_sigma_1.0_dilation_level_7,0.6091966398909155
51,prostate,3,0.01,1.0,5,0.6203341169379833,name_prostate_kernal_size_3_lamda_0.01_sigma_1.0_dilation_level_5,0.6091966398909155
52,prostate,3,0.01,1.0,6,0.6203814513851573,name_prostate_kernal_size_3_lamda_0.01_sigma_1.0_dilation_level_6,0.6091966398909155
53,prostate,3,0.01,1.0,7,0.6205247883246546,name_prostate_kernal_size_3_lamda_0.01_sigma_1.0_dilation_level_7,0.6091966398909155
54,prostate,3,0.1,1.0,5,0.6203341169379833,name_prostate_kernal_size_3_lamda_0.1_sigma_1.0_dilation_level_5,0.6091966398909155
55,prostate,3,0.1,1.0,6,0.6203814513851573,name_prostate_kernal_size_3_lamda_0.1_sigma_1.0_dilation_level_6,0.6091966398909155
56,prostate,3,0.1,1.0,7,0.6205247883246546,name_prostate_kernal_size_3_lamda_0.1_sigma_1.0_dilation_level_7,0.6091966398909155
57,prostate,3,1.0,1.0,5,0.6203341169379833,name_prostate_kernal_size_3_lamda_1.0_sigma_1.0_dilation_level_5,0.6091966398909155
58,prostate,3,1.0,1.0,6,0.6203814513851573,name_prostate_kernal_size_3_lamda_1.0_sigma_1.0_dilation_level_6,0.6091966398909155
59,prostate,3,1.0,1.0,7,0.6205247883246546,name_prostate_kernal_size_3_lamda_1.0_sigma_1.0_dilation_level_7,0.6091966398909155
60,prostate,5,0.0,1.0,5,0.9508821144684315,name_prostate_kernal_size_5_lamda_0.0_sigma_1.0_dilation_level_5,0.6091966398909155
61,prostate,5,0.0,1.0,6,0.9351926164381825,name_prostate_kernal_size_5_lamda_0.0_sigma_1.0_dilation_level_6,0.6091966398909155
62,prostate,5,0.0,1.0,7,0.9005858096259737,name_prostate_kernal_size_5_lamda_0.0_sigma_1.0_dilation_level_7,0.6091966398909155
63,prostate,5,0.01,1.0,5,0.6152175689731179,name_prostate_kernal_size_5_lamda_0.01_sigma_1.0_dilation_level_5,0.6091966398909155
64,prostate,5,0.01,1.0,6,0.6153070416553655,name_prostate_kernal_size_5_lamda_0.01_sigma_1.0_dilation_level_6,0.6091966398909155
65,prostate,5,0.01,1.0,7,0.6153786289557377,name_prostate_kernal_size_5_lamda_0.01_sigma_1.0_dilation_level_7,0.6091966398909155
66,prostate,5,0.1,1.0,5,0.6152175689731179,name_prostate_kernal_size_5_lamda_0.1_sigma_1.0_dilation_level_5,0.6091966398909155
67,prostate,5,0.1,1.0,6,0.6153070416553655,name_prostate_kernal_size_5_lamda_0.1_sigma_1.0_dilation_level_6,0.6091966398909155
68,prostate,5,0.1,1.0,7,0.6153786289557377,name_prostate_kernal_size_5_lamda_0.1_sigma_1.0_dilation_level_7,0.6091966398909155
69,prostate,5,1.0,1.0,5,0.6152175689731179,name_prostate_kernal_size_5_lamda_1.0_sigma_1.0_dilation_level_5,0.6091966398909155
70,prostate,5,1.0,1.0,6,0.6153070416553655,name_prostate_kernal_size_5_lamda_1.0_sigma_1.0_dilation_level_6,0.6091966398909155
71,prostate,5,1.0,1.0,7,0.6153786289557377,name_prostate_kernal_size_5_lamda_1.0_sigma_1.0_dilation_level_7,0.6091966398909155
72,prostate,3,0.0,0.1,5,0.9508821144684315,name_prostate_kernal_size_3_lamda_0.0_sigma_0.1_dilation_level_5,0.6091966398909155
73,prostate,3,0.0,0.1,6,0.9351926164381825,name_prostate_kernal_size_3_lamda_0.0_sigma_0.1_dilation_level_6,0.6091966398909155
74,prostate,3,0.0,0.1,7,0.9005858096259737,name_prostate_kernal_size_3_lamda_0.0_sigma_0.1_dilation_level_7,0.6091966398909155
75,prostate,3,0.01,0.1,5,0.7018387381329602,name_prostate_kernal_size_3_lamda_0.01_sigma_0.1_dilation_level_5,0.6091966398909155
76,prostate,3,0.01,0.1,6,0.738335072290547,name_prostate_kernal_size_3_lamda_0.01_sigma_0.1_dilation_level_6,0.6091966398909155
77,prostate,3,0.01,0.1,7,0.7582720831807614,name_prostate_kernal_size_3_lamda_0.01_sigma_0.1_dilation_level_7,0.6091966398909155
78,prostate,3,0.1,0.1,5,0.7018372249352053,name_prostate_kernal_size_3_lamda_0.1_sigma_0.1_dilation_level_5,0.6091966398909155
79,prostate,3,0.1,0.1,6,0.7383361393051933,name_prostate_kernal_size_3_lamda_0.1_sigma_0.1_dilation_level_6,0.6091966398909155
80,prostate,3,0.1,0.1,7,0.7582730301971485,name_prostate_kernal_size_3_lamda_0.1_sigma_0.1_dilation_level_7,0.6091966398909155
81,prostate,3,1.0,0.1,5,0.7018363217880057,name_prostate_kernal_size_3_lamda_1.0_sigma_0.1_dilation_level_5,0.6091966398909155
82,prostate,3,1.0,0.1,6,0.7383359502883824,name_prostate_kernal_size_3_lamda_1.0_sigma_0.1_dilation_level_6,0.6091966398909155
83,prostate,3,1.0,0.1,7,0.7582728453800888,name_prostate_kernal_size_3_lamda_1.0_sigma_0.1_dilation_level_7,0.6091966398909155
84,prostate,5,0.0,0.1,5,0.9508821144684315,name_prostate_kernal_size_5_lamda_0.0_sigma_0.1_dilation_level_5,0.6091966398909155
85,prostate,5,0.0,0.1,6,0.9351926164381825,name_prostate_kernal_size_5_lamda_0.0_sigma_0.1_dilation_level_6,0.6091966398909155
86,prostate,5,0.0,0.1,7,0.9005858096259737,name_prostate_kernal_size_5_lamda_0.0_sigma_0.1_dilation_level_7,0.6091966398909155
87,prostate,5,0.01,0.1,5,0.7032337551081539,name_prostate_kernal_size_5_lamda_0.01_sigma_0.1_dilation_level_5,0.6091966398909155
88,prostate,5,0.01,0.1,6,0.7378936825539504,name_prostate_kernal_size_5_lamda_0.01_sigma_0.1_dilation_level_6,0.6091966398909155
89,prostate,5,0.01,0.1,7,0.7576675876838489,name_prostate_kernal_size_5_lamda_0.01_sigma_0.1_dilation_level_7,0.6091966398909155
90,prostate,5,0.1,0.1,5,0.7032326337144721,name_prostate_kernal_size_5_lamda_0.1_sigma_0.1_dilation_level_5,0.6091966398909155
91,prostate,5,0.1,0.1,6,0.7378926363506129,name_prostate_kernal_size_5_lamda_0.1_sigma_0.1_dilation_level_6,0.6091966398909155
92,prostate,5,0.1,0.1,7,0.7576675876838489,name_prostate_kernal_size_5_lamda_0.1_sigma_0.1_dilation_level_7,0.6091966398909155
93,prostate,5,1.0,0.1,5,0.7032337551081539,name_prostate_kernal_size_5_lamda_1.0_sigma_0.1_dilation_level_5,0.6091966398909155
94,prostate,5,1.0,0.1,6,0.7378937577442948,name_prostate_kernal_size_5_lamda_1.0_sigma_0.1_dilation_level_6,0.6091966398909155
95,prostate,5,1.0,0.1,7,0.7576675876838489,name_prostate_kernal_size_5_lamda_1.0_sigma_0.1_dilation_level_7,0.6091966398909155
96,prostate,3,0.0,0.01,5,0.9508821144684315,name_prostate_kernal_size_3_lamda_0.0_sigma_0.01_dilation_level_5,0.6091966398909155
97,prostate,3,0.0,0.01,6,0.9351926164381825,name_prostate_kernal_size_3_lamda_0.0_sigma_0.01_dilation_level_6,0.6091966398909155
98,prostate,3,0.0,0.01,7,0.9005858096259737,name_prostate_kernal_size_3_lamda_0.0_sigma_0.01_dilation_level_7,0.6091966398909155
99,prostate,3,0.01,0.01,5,0.7871241301167398,name_prostate_kernal_size_3_lamda_0.01_sigma_0.01_dilation_level_5,0.6091966398909155
100,prostate,3,0.01,0.01,6,0.8274823912838095,name_prostate_kernal_size_3_lamda_0.01_sigma_0.01_dilation_level_6,0.6091966398909155
101,prostate,3,0.01,0.01,7,0.8483571034019667,name_prostate_kernal_size_3_lamda_0.01_sigma_0.01_dilation_level_7,0.6091966398909155
102,prostate,3,0.1,0.01,5,0.7871322469719216,name_prostate_kernal_size_3_lamda_0.1_sigma_0.01_dilation_level_5,0.6091966398909155
103,prostate,3,0.1,0.01,6,0.8273895258214274,name_prostate_kernal_size_3_lamda_0.1_sigma_0.01_dilation_level_6,0.6091966398909155
