opt,name,kernal_size,lamda,sigma,dilation_level,fd,arg_name,baseline
137,prostate,5,0.01,0.001,7,0.890095006,name_prostate_kernal_size_5_lamda_0.01_sigma_0.001_dilation_level_7,0.60919664
140,prostate,5,0.1,0.001,7,0.890095006,name_prostate_kernal_size_5_lamda_0.1_sigma_0.001_dilation_level_7,0.60919664
143,prostate,5,1,0.001,7,0.890095006,name_prostate_kernal_size_5_lamda_1.0_sigma_0.001_dilation_level_7,0.60919664
135,prostate,5,0.01,0.001,5,0.865714413,name_prostate_kernal_size_5_lamda_0.01_sigma_0.001_dilation_level_5,0.60919664
138,prostate,5,0.1,0.001,5,0.865714413,name_prostate_kernal_size_5_lamda_0.1_sigma_0.001_dilation_level_5,0.60919664
141,prostate,5,1,0.001,5,0.865714413,name_prostate_kernal_size_5_lamda_1.0_sigma_0.001_dilation_level_5,0.60919664
101,prostate,3,0.01,0.01,7,0.848357103,name_prostate_kernal_size_3_lamda_0.01_sigma_0.01_dilation_level_7,0.60919664
104,prostate,3,0.1,0.01,7,0.848264105,name_prostate_kernal_size_3_lamda_0.1_sigma_0.01_dilation_level_7,0.60919664
107,prostate,3,1,0.01,7,0.847904366,name_prostate_kernal_size_3_lamda_1.0_sigma_0.01_dilation_level_7,0.60919664
116,prostate,5,0.1,0.01,7,0.843620915,name_prostate_kernal_size_5_lamda_0.1_sigma_0.01_dilation_level_7,0.60919664
113,prostate,5,0.01,0.01,7,0.843619276,name_prostate_kernal_size_5_lamda_0.01_sigma_0.01_dilation_level_7,0.60919664
119,prostate,5,1,0.01,7,0.843538185,name_prostate_kernal_size_5_lamda_1.0_sigma_0.01_dilation_level_7,0.60919664
100,prostate,3,0.01,0.01,6,0.827482391,name_prostate_kernal_size_3_lamda_0.01_sigma_0.01_dilation_level_6,0.60919664
103,prostate,3,0.1,0.01,6,0.827389526,name_prostate_kernal_size_3_lamda_0.1_sigma_0.01_dilation_level_6,0.60919664
106,prostate,3,1,0.01,6,0.826830318,name_prostate_kernal_size_3_lamda_1.0_sigma_0.01_dilation_level_6,0.60919664
115,prostate,5,0.1,0.01,6,0.818629596,name_prostate_kernal_size_5_lamda_0.1_sigma_0.01_dilation_level_6,0.60919664
112,prostate,5,0.01,0.01,6,0.818628516,name_prostate_kernal_size_5_lamda_0.01_sigma_0.01_dilation_level_6,0.60919664
118,prostate,5,1,0.01,6,0.818520951,name_prostate_kernal_size_5_lamda_1.0_sigma_0.01_dilation_level_6,0.60919664
102,prostate,3,0.1,0.01,5,0.787132247,name_prostate_kernal_size_3_lamda_0.1_sigma_0.01_dilation_level_5,0.60919664
99,prostate,3,0.01,0.01,5,0.78712413,name_prostate_kernal_size_3_lamda_0.01_sigma_0.01_dilation_level_5,0.60919664
105,prostate,3,1,0.01,5,0.786511037,name_prostate_kernal_size_3_lamda_1.0_sigma_0.01_dilation_level_5,0.60919664
114,prostate,5,0.1,0.01,5,0.777673898,name_prostate_kernal_size_5_lamda_0.1_sigma_0.01_dilation_level_5,0.60919664
111,prostate,5,0.01,0.01,5,0.777671463,name_prostate_kernal_size_5_lamda_0.01_sigma_0.01_dilation_level_5,0.60919664
117,prostate,5,1,0.01,5,0.777521575,name_prostate_kernal_size_5_lamda_1.0_sigma_0.01_dilation_level_5,0.60919664
80,prostate,3,0.1,0.1,7,0.75827303,name_prostate_kernal_size_3_lamda_0.1_sigma_0.1_dilation_level_7,0.60919664
83,prostate,3,1,0.1,7,0.758272845,name_prostate_kernal_size_3_lamda_1.0_sigma_0.1_dilation_level_7,0.60919664
77,prostate,3,0.01,0.1,7,0.758272083,name_prostate_kernal_size_3_lamda_0.01_sigma_0.1_dilation_level_7,0.60919664
89,prostate,5,0.01,0.1,7,0.757667588,name_prostate_kernal_size_5_lamda_0.01_sigma_0.1_dilation_level_7,0.60919664
92,prostate,5,0.1,0.1,7,0.757667588,name_prostate_kernal_size_5_lamda_0.1_sigma_0.1_dilation_level_7,0.60919664
95,prostate,5,1,0.1,7,0.757667588,name_prostate_kernal_size_5_lamda_1.0_sigma_0.1_dilation_level_7,0.60919664
79,prostate,3,0.1,0.1,6,0.738336139,name_prostate_kernal_size_3_lamda_0.1_sigma_0.1_dilation_level_6,0.60919664
82,prostate,3,1,0.1,6,0.73833595,name_prostate_kernal_size_3_lamda_1.0_sigma_0.1_dilation_level_6,0.60919664
76,prostate,3,0.01,0.1,6,0.738335072,name_prostate_kernal_size_3_lamda_0.01_sigma_0.1_dilation_level_6,0.60919664
94,prostate,5,1,0.1,6,0.737893758,name_prostate_kernal_size_5_lamda_1.0_sigma_0.1_dilation_level_6,0.60919664
88,prostate,5,0.01,0.1,6,0.737893683,name_prostate_kernal_size_5_lamda_0.01_sigma_0.1_dilation_level_6,0.60919664
91,prostate,5,0.1,0.1,6,0.737892636,name_prostate_kernal_size_5_lamda_0.1_sigma_0.1_dilation_level_6,0.60919664
