opt,name,kernal_size,lamda,sigma,dilation_level,fd,arg_name,baseline
61,prostate,5,0,10,6,0.75793824,name_prostate_kernal_size_5_lamda_0.0_sigma_10.0_dilation_level_6,0.458471518
81,prostate,3,0,1,6,0.75793824,name_prostate_kernal_size_3_lamda_0.0_sigma_1.0_dilation_level_6,0.458471518
101,prostate,5,0,1,6,0.75793824,name_prostate_kernal_size_5_lamda_0.0_sigma_1.0_dilation_level_6,0.458471518
121,prostate,3,0,0.1,6,0.75793824,name_prostate_kernal_size_3_lamda_0.0_sigma_0.1_dilation_level_6,0.458471518
141,prostate,5,0,0.1,6,0.75793824,name_prostate_kernal_size_5_lamda_0.0_sigma_0.1_dilation_level_6,0.458471518
161,prostate,3,0,0.01,6,0.75793824,name_prostate_kernal_size_3_lamda_0.0_sigma_0.01_dilation_level_6,0.458471518
181,prostate,5,0,0.01,6,0.75793824,name_prostate_kernal_size_5_lamda_0.0_sigma_0.01_dilation_level_6,0.458471518
201,prostate,3,0,0.001,6,0.75793824,name_prostate_kernal_size_3_lamda_0.0_sigma_0.001_dilation_level_6,0.458471518
221,prostate,5,0,0.001,6,0.75793824,name_prostate_kernal_size_5_lamda_0.0_sigma_0.001_dilation_level_6,0.458471518
207,prostate,3,0.01,0.001,7,0.751764052,name_prostate_kernal_size_3_lamda_0.01_sigma_0.001_dilation_level_7,0.458471518
212,prostate,3,0.1,0.001,7,0.751764052,name_prostate_kernal_size_3_lamda_0.1_sigma_0.001_dilation_level_7,0.458471518
217,prostate,3,1,0.001,7,0.751764052,name_prostate_kernal_size_3_lamda_1.0_sigma_0.001_dilation_level_7,0.458471518
228,prostate,5,0.01,0.001,9,0.739527517,name_prostate_kernal_size_5_lamda_0.01_sigma_0.001_dilation_level_9,0.458471518
233,prostate,5,0.1,0.001,9,0.739527517,name_prostate_kernal_size_5_lamda_0.1_sigma_0.001_dilation_level_9,0.458471518
238,prostate,5,1,0.001,9,0.739527517,name_prostate_kernal_size_5_lamda_1.0_sigma_0.001_dilation_level_9,0.458471518
0,prostate,3,0,100,5,0.718233918,name_prostate_kernal_size_3_lamda_0.0_sigma_100.0_dilation_level_5,0.458471518
20,prostate,5,0,100,5,0.718233918,name_prostate_kernal_size_5_lamda_0.0_sigma_100.0_dilation_level_5,0.458471518
40,prostate,3,0,10,5,0.718233918,name_prostate_kernal_size_3_lamda_0.0_sigma_10.0_dilation_level_5,0.458471518
60,prostate,5,0,10,5,0.718233918,name_prostate_kernal_size_5_lamda_0.0_sigma_10.0_dilation_level_5,0.458471518
80,prostate,3,0,1,5,0.718233918,name_prostate_kernal_size_3_lamda_0.0_sigma_1.0_dilation_level_5,0.458471518
100,prostate,5,0,1,5,0.718233918,name_prostate_kernal_size_5_lamda_0.0_sigma_1.0_dilation_level_5,0.458471518
120,prostate,3,0,0.1,5,0.718233918,name_prostate_kernal_size_3_lamda_0.0_sigma_0.1_dilation_level_5,0.458471518
140,prostate,5,0,0.1,5,0.718233918,name_prostate_kernal_size_5_lamda_0.0_sigma_0.1_dilation_level_5,0.458471518
160,prostate,3,0,0.01,5,0.718233918,name_prostate_kernal_size_3_lamda_0.0_sigma_0.01_dilation_level_5,0.458471518
180,prostate,5,0,0.01,5,0.718233918,name_prostate_kernal_size_5_lamda_0.0_sigma_0.01_dilation_level_5,0.458471518
200,prostate,3,0,0.001,5,0.718233918,name_prostate_kernal_size_3_lamda_0.0_sigma_0.001_dilation_level_5,0.458471518
220,prostate,5,0,0.001,5,0.718233918,name_prostate_kernal_size_5_lamda_0.0_sigma_0.001_dilation_level_5,0.458471518
206,prostate,3,0.01,0.001,6,0.717862571,name_prostate_kernal_size_3_lamda_0.01_sigma_0.001_dilation_level_6,0.458471518
211,prostate,3,0.1,0.001,6,0.717862571,name_prostate_kernal_size_3_lamda_0.1_sigma_0.001_dilation_level_6,0.458471518
216,prostate,3,1,0.001,6,0.717862571,name_prostate_kernal_size_3_lamda_1.0_sigma_0.001_dilation_level_6,0.458471518
227,prostate,5,0.01,0.001,7,0.688775053,name_prostate_kernal_size_5_lamda_0.01_sigma_0.001_dilation_level_7,0.458471518
232,prostate,5,0.1,0.001,7,0.688775053,name_prostate_kernal_size_5_lamda_0.1_sigma_0.001_dilation_level_7,0.458471518
