opt,name,kernal_size,lamda,sigma,dilation_level,fd,arg_name,baseline
42,prostate,3,0.0,10.0,7,0.7885533701283061,name_prostate_kernal_size_3_lamda_0.0_sigma_10.0_dilation_level_7,0.45847151791175345
43,prostate,3,0.0,10.0,9,0.8211802169103894,name_prostate_kernal_size_3_lamda_0.0_sigma_10.0_dilation_level_9,0.45847151791175345
44,prostate,3,0.0,10.0,11,0.8196913868453408,name_prostate_kernal_size_3_lamda_0.0_sigma_10.0_dilation_level_11,0.45847151791175345
45,prostate,3,0.01,10.0,5,0.45847151791175345,name_prostate_kernal_size_3_lamda_0.01_sigma_10.0_dilation_level_5,0.45847151791175345
46,prostate,3,0.01,10.0,6,0.45847151791175345,name_prostate_kernal_size_3_lamda_0.01_sigma_10.0_dilation_level_6,0.45847151791175345
47,prostate,3,0.01,10.0,7,0.45847151791175345,name_prostate_kernal_size_3_lamda_0.01_sigma_10.0_dilation_level_7,0.45847151791175345
48,prostate,3,0.01,10.0,9,0.45847151791175345,name_prostate_kernal_size_3_lamda_0.01_sigma_10.0_dilation_level_9,0.45847151791175345
49,prostate,3,0.01,10.0,11,0.45847151791175345,name_prostate_kernal_size_3_lamda_0.01_sigma_10.0_dilation_level_11,0.45847151791175345
50,prostate,3,0.1,10.0,5,0.45847151791175345,name_prostate_kernal_size_3_lamda_0.1_sigma_10.0_dilation_level_5,0.45847151791175345
51,prostate,3,0.1,10.0,6,0.45847151791175345,name_prostate_kernal_size_3_lamda_0.1_sigma_10.0_dilation_level_6,0.45847151791175345
52,prostate,3,0.1,10.0,7,0.45847151791175345,name_prostate_kernal_size_3_lamda_0.1_sigma_10.0_dilation_level_7,0.45847151791175345
53,prostate,3,0.1,10.0,9,0.45847151791175345,name_prostate_kernal_size_3_lamda_0.1_sigma_10.0_dilation_level_9,0.45847151791175345
54,prostate,3,0.1,10.0,11,0.45847151791175345,name_prostate_kernal_size_3_lamda_0.1_sigma_10.0_dilation_level_11,0.45847151791175345
55,prostate,3,1.0,10.0,5,0.45847151791175345,name_prostate_kernal_size_3_lamda_1.0_sigma_10.0_dilation_level_5,0.45847151791175345
56,prostate,3,1.0,10.0,6,0.45847151791175345,name_prostate_kernal_size_3_lamda_1.0_sigma_10.0_dilation_level_6,0.45847151791175345
57,prostate,3,1.0,10.0,7,0.45847151791175345,name_prostate_kernal_size_3_lamda_1.0_sigma_10.0_dilation_level_7,0.45847151791175345
58,prostate,3,1.0,10.0,9,0.45847151791175345,name_prostate_kernal_size_3_lamda_1.0_sigma_10.0_dilation_level_9,0.45847151791175345
59,prostate,3,1.0,10.0,11,0.45847151791175345,name_prostate_kernal_size_3_lamda_1.0_sigma_10.0_dilation_level_11,0.45847151791175345
60,prostate,5,0.0,10.0,5,0.7182339180630348,name_prostate_kernal_size_5_lamda_0.0_sigma_10.0_dilation_level_5,0.45847151791175345
61,prostate,5,0.0,10.0,6,0.7579382396948425,name_prostate_kernal_size_5_lamda_0.0_sigma_10.0_dilation_level_6,0.45847151791175345
62,prostate,5,0.0,10.0,7,0.7885533701283061,name_prostate_kernal_size_5_lamda_0.0_sigma_10.0_dilation_level_7,0.45847151791175345
63,prostate,5,0.0,10.0,9,0.8211802169103894,name_prostate_kernal_size_5_lamda_0.0_sigma_10.0_dilation_level_9,0.45847151791175345
64,prostate,5,0.0,10.0,11,0.8196913868453408,name_prostate_kernal_size_5_lamda_0.0_sigma_10.0_dilation_level_11,0.45847151791175345
65,prostate,5,0.01,10.0,5,0.45847151791175345,name_prostate_kernal_size_5_lamda_0.01_sigma_10.0_dilation_level_5,0.45847151791175345
66,prostate,5,0.01,10.0,6,0.45847151791175345,name_prostate_kernal_size_5_lamda_0.01_sigma_10.0_dilation_level_6,0.45847151791175345
