opt,name,kernal_size,lamda,sigma,dilation_level,fd
99,cardiac,7,1.0,0.001,3,0.5064173968978444
100,cardiac,7,1.0,0.001,5,0.7333463465371245
101,cardiac,7,1.0,0.001,7,0.8113762060677681
102,cardiac,7,1.0,0.001,9,0.7441546026284593
103,cardiac,7,1.0,0.001,12,0.6336202009873162
104,cardiac,7,1.0,0.001,14,0.5747146853295118
105,cardiac,7,2.0,0.001,0,0.1869135328646839
106,cardiac,7,2.0,0.001,3,0.5064173968978444
107,cardiac,7,2.0,0.001,5,0.7333463465371245
108,cardiac,7,2.0,0.001,7,0.8113762060677681
109,cardiac,7,2.0,0.001,9,0.7441546026284593
110,cardiac,7,2.0,0.001,12,0.6336202009873162
111,cardiac,7,2.0,0.001,14,0.5747146853295118
112,cardiac,7,5.0,0.001,0,0.1869135328646839
113,cardiac,7,5.0,0.001,3,0.5064173968978444
114,cardiac,7,5.0,0.001,5,0.7333248863429209
115,cardiac,7,5.0,0.001,7,0.8113762060677681
116,cardiac,7,5.0,0.001,9,0.7441534518293235
117,cardiac,7,5.0,0.001,12,0.6336187318738769
118,cardiac,7,5.0,0.001,14,0.574714361688586
119,cardiac,7,10.0,0.001,0,0.1869135328646839
120,cardiac,7,10.0,0.001,3,0.5064173968978444
121,cardiac,7,10.0,0.001,5,0.7333248863429209
122,cardiac,7,10.0,0.001,7,0.8113762060677681
123,cardiac,7,10.0,0.001,9,0.7441534518293235
124,cardiac,7,10.0,0.001,12,0.6336187318738769
125,cardiac,7,10.0,0.001,14,0.574714361688586
126,cardiac,3,0.0,0.01,0,0.1869135328646839
127,cardiac,3,0.0,0.01,3,0.6675447773248978
128,cardiac,3,0.0,0.01,5,0.7574114962797962
129,cardiac,3,0.0,0.01,7,0.6352669751818419
130,cardiac,3,0.0,0.01,9,0.4887029350204753
131,cardiac,3,0.0,0.01,12,0.34119565002572927
132,cardiac,3,0.0,0.01,14,0.2756869383445312
133,cardiac,3,0.1,0.01,0,0.1869135328646839
134,cardiac,3,0.1,0.01,3,0.46020266231973966
135,cardiac,3,0.1,0.01,5,0.6757455667532989
136,cardiac,3,0.1,0.01,7,0.7883925855922285
137,cardiac,3,0.1,0.01,9,0.7814145967125
138,cardiac,3,0.1,0.01,12,0.7585030905301164
139,cardiac,3,0.1,0.01,14,0.7464937117591406
140,cardiac,3,1.0,0.01,0,0.1869135328646839
141,cardiac,3,1.0,0.01,3,0.46007246076814406
142,cardiac,3,1.0,0.01,5,0.6756195338659322
143,cardiac,3,1.0,0.01,7,0.7887182505053153
144,cardiac,3,1.0,0.01,9,0.7823246954864188
145,cardiac,3,1.0,0.01,12,0.7602064797867496
146,cardiac,3,1.0,0.01,14,0.7486549361730207
147,cardiac,3,2.0,0.01,0,0.1869135328646839
148,cardiac,3,2.0,0.01,3,0.46007246076814406
149,cardiac,3,2.0,0.01,5,0.6756195338659322
150,cardiac,3,2.0,0.01,7,0.7887182505053153
151,cardiac,3,2.0,0.01,9,0.7823246954864188
152,cardiac,3,2.0,0.01,12,0.7602064797867496
153,cardiac,3,2.0,0.01,14,0.7486549361730207
154,cardiac,3,5.0,0.01,0,0.1869135328646839
155,cardiac,3,5.0,0.01,3,0.46007246076814406
156,cardiac,3,5.0,0.01,5,0.6756188157957997
157,cardiac,3,5.0,0.01,7,0.7887188845426827
158,cardiac,3,5.0,0.01,9,0.7823248485453628
159,cardiac,3,5.0,0.01,12,0.7602050756808252
160,cardiac,3,5.0,0.01,14,0.7486568771898789
161,cardiac,3,10.0,0.01,0,0.1869135328646839
162,cardiac,3,10.0,0.01,3,0.46007246076814406
163,cardiac,3,10.0,0.01,5,0.6756188157957997
164,cardiac,3,10.0,0.01,7,0.7887188845426827
165,cardiac,3,10.0,0.01,9,0.7823248485453628
166,cardiac,3,10.0,0.01,12,0.7602050756808252
167,cardiac,3,10.0,0.01,14,0.7486568771898789
168,cardiac,5,0.0,0.01,0,0.1869135328646839
169,cardiac,5,0.0,0.01,3,0.6675447773248978
170,cardiac,5,0.0,0.01,5,0.7574114962797962
171,cardiac,5,0.0,0.01,7,0.6352669751818419
172,cardiac,5,0.0,0.01,9,0.4887029350204753
173,cardiac,5,0.0,0.01,12,0.34119565002572927
