,tra_3d_dice_DSC1,tra_gc_dice_DSC1,tra_sz_dice_DSC1,val_2d_dice_DSC1,val_3d_dice_DSC1
archives/LV_prior/size,0.8183340430259705,2.6582611979686366e-12,0.8203029036521912,0.6785756945610046,0.7882212996482849
archives/LV_prior/gc_size,0.877919614315033,0.7957907915115356,0.881016194820404,0.7666556239128113,0.8586984872817993
archives/LV_prior/soft3d,0.8524401187896729,0.0,0.0,0.7468652129173279,0.8436421751976013
archives/LV_prior/fs,0.967915654182434,0.0,0.0,0.8268874883651733,0.8903546333312988
archives/LV_prior/gc,0.8321040272712708,0.7957908511161804,2.6582614148090707e-12,0.7388831377029419,0.8375980257987976
