,DSC1
0,0.025851426646113396
1,0.0003956345608457923
2,2.771746590926605e-12
3,2.7718851519642485e-12
4,2.772145794166514e-12
5,3.4830018194043078e-06
6,3.787741661653854e-05
7,0.00011037774675060064
8,0.00017638385179452598
9,7.121414910216117e-06
10,1.670192546043836e-06
11,2.7721683455717017e-12
12,2.7721683455717017e-12
13,2.772168562412136e-12
14,2.772168562412136e-12
15,2.7721683455717017e-12
16,2.7721683455717017e-12
17,2.7721683455717017e-12
18,2.7721683455717017e-12
19,2.772168128731267e-12
20,2.772168128731267e-12
21,2.772168562412136e-12
22,2.7721683455717017e-12
23,2.7721551183051973e-12
24,2.772168128731267e-12
25,2.7721683455717017e-12
26,2.772168128731267e-12
27,2.0166439753666054e-06
28,3.0477037853415823e-06
29,2.7721620571991012e-12
30,2.772168128731267e-12
31,2.7721683455717017e-12
32,8.56369842949789e-06
33,4.49255230705603e-06
34,2.2481333417090354e-06
35,2.1420910343294963e-05
36,2.093814873660449e-05
37,3.398307308088988e-05
38,0.00011126784374937415
39,0.00010832195403054357
40,9.898706775857136e-05
41,0.00027754061738960445
42,0.0002922475105151534
43,0.0005489609902724624
44,0.003018897259607911
45,0.002697117393836379
46,0.496576726436615
47,0.5620256662368774
48,0.5755678415298462
49,0.5884049534797668
50,0.5733777284622192
51,0.581597626209259
52,0.6056336760520935
53,0.6075724363327026
54,0.6033290028572083
55,0.57669997215271
56,0.5421851277351379
57,0.5589694976806641
58,0.6002381443977356
59,0.6031759977340698
60,0.5789766907691956
61,0.5844594240188599
62,0.47652262449264526
63,0.5617345571517944
64,0.576011598110199
65,0.5864059925079346
66,0.5965411067008972
67,0.5945926308631897
68,0.5989537239074707
69,0.6029441356658936
70,0.6053211092948914
71,0.6124951243400574
72,0.6080411076545715
73,0.5981749892234802
74,0.6189932823181152
75,0.6201136708259583
76,0.6396159529685974
77,0.6323433518409729
78,0.6302571892738342
79,0.6269686818122864
80,0.626211404800415
81,0.626134991645813
82,0.6237800717353821
83,0.6240965723991394
84,0.6200454831123352
85,0.6222311854362488
86,0.6255179643630981
87,0.6321959495544434
88,0.6336240172386169
89,0.6306155323982239
90,0.6287015676498413
91,0.6282526254653931
92,0.6276248693466187
93,0.6288033723831177
94,0.6265861392021179
95,0.6290452480316162
96,0.6302866339683533
97,0.6306678056716919
98,0.6312780976295471
99,0.6350921392440796
100,0.6363715529441833
101,0.6376140713691711
102,0.6274067759513855
103,0.6415034532546997
104,0.6394888162612915
105,0.637763500213623
106,0.6108424663543701
107,0.6369403600692749
108,0.6469403505325317
109,0.6466860175132751
110,0.6452353000640869
111,0.643814742565155
112,0.6490231156349182
113,0.6444448232650757
114,0.6445349454879761
115,0.6427958011627197
116,0.6452410817146301
117,0.6482539176940918
118,0.6465636491775513
119,0.6453166007995605
120,0.6410309076309204
121,0.6425660252571106
122,0.6461291909217834
123,0.6433480381965637
124,0.6428268551826477
125,0.6434897780418396
126,0.6394955515861511
127,0.6448225378990173
128,0.6297008395195007
129,0.6503574848175049
130,0.6507636308670044
131,0.6501821875572205
132,0.6499800682067871
133,0.6487481594085693
134,0.6482353210449219
135,0.649005115032196
136,0.6488981246948242
137,0.650679886341095
138,0.6482444405555725
139,0.6473620533943176
140,0.6463679671287537
141,0.646918773651123
142,0.6330340504646301
143,0.6496509909629822
144,0.6606829762458801
145,0.6632848381996155
146,0.6640128493309021
147,0.6639662384986877
148,0.6637676358222961
149,0.66363126039505
150,0.6635717749595642
151,0.6638888120651245
152,0.6638036966323853
153,0.6635673642158508
154,0.663585364818573
155,0.6636489033699036
156,0.6635524034500122
157,0.6633330583572388
158,0.6634791493415833
159,0.6634813547134399
160,0.6632223129272461
161,0.6631618738174438
162,0.6629069447517395
163,0.6629140973091125
164,0.6627917289733887
165,0.662329375743866
166,0.6619563102722168
167,0.6619560122489929
168,0.6618828773498535
169,0.6615798473358154
170,0.6604819297790527
171,0.6594070196151733
172,0.6598736047744751
173,0.6595494747161865
174,0.6597389578819275
175,0.6589190363883972
176,0.658317506313324
177,0.6589177250862122
178,0.6594452261924744
179,0.658688485622406
180,0.6573787927627563
181,0.6571705341339111
